C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_002.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_002.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_002.jpg,0,1,0,6.238649
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_075.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_075.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_075.jpg,0,1,0,7.154317
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_144.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_144.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_144.jpg,0,1,0,7.836565
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_214.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_214.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_214.jpg,0,1,0,8.739963
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_283.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_283.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_283.jpg,0,1,0,9.412845
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_353.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_353.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_353.jpg,0,1,0,10.30402
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_424.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_424.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_424.jpg,0,1,0,10.96767
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_500.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_500.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_500.jpg,0,1,0,11.70007
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_574.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_574.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_574.jpg,0,1,0,12.62893
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_652.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_652.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_652.jpg,0,1,0,13.48311
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_727.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_727.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_727.jpg,0,1,0,14.34081
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_796.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_796.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_796.jpg,0,1,0,15.17924
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_865.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_865.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_865.jpg,0,1,0,15.60845
C:\Users\DELL\Desktop\images\IMG\center_2020_11_11_20_58_48_934.jpg,C:\Users\DELL\Desktop\images\IMG\left_2020_11_11_20_58_48_934.jpg,C:\Users\DELL\Desktop\images\IMG\right_2020_11_11_20_58_48_934.jpg,0,1,0,16.47242
